Unnamed: 0,FID,COMID,Name,REACHCODE,GRIDCODE,Reach_Km2,UpstrmKm2,BFI,Slope,Elevation,Solar,HiCascade,Forest,Developed,Ag,Shrub,Water,AirC,Air245mid,Air245late,Air585mid,Air585late,STpresent,ST_245mid,ST_245late,ST_585mid,ST_585late,Diff_245mi,Diff_245la,Diff_585mi,Diff585la,pred_SE,CO,CHS,BT,STW,ST_HIP_km,CO_HIP_km,CH_HIP_km,ADULTp,ADULT245m,ADULT245l,ADULT585m,ADULT585l,JUVp,JUV245m,JUV245l,JUV585m,JUV585l,BTp,BT245m,BT245l,BT585m,BT585l
436,222,23809374,Cub Creek,1.71E+13,479779,3.99,60.21,74.78,0.03,951.77,-0.19,0.24,0.86,0.02,0,0.11,0,23.25,24.41,25.4,25.86,28.02,12.78,13.96,14.36,14.51,15.76,1.18,1.58,1.73,2.98,1.59,1,1,1,1,2.6,0.6,2.91,0.97,0.98,0.98,0.98,0.97,0.87,0.93,0.94,0.95,0.98,0.63,0.48,0.42,0.41,0.27
437,223,23809376,Cub Creek,1.71E+13,479887,0.61,48.45,74.75,0.02,985.57,0.02,0.21,0.86,0.02,0,0.12,0,23.31,24.33,25.31,25.78,27.94,12.64,13.8,14.2,14.35,15.61,1.16,1.56,1.71,2.97,1.14,1,0,1,1,0.2,0.27,0.79,0.97,0.99,0.99,0.99,0.98,0.88,0.93,0.95,0.95,0.99,0.65,0.49,0.43,0.42,0.27
438,224,23809378,Cub Creek,1.71E+13,479810,3.63,44.71,74.52,0.01,1001.58,-0.32,0.23,0.86,0.02,0,0.12,0,23.25,24.33,25.31,25.78,27.94,13.19,14.42,14.82,14.97,16.22,1.23,1.63,1.78,3.03,1.41,1,0,1,1,1.46,0.28,1.41,0.98,0.99,0.98,0.98,0.96,0.9,0.96,0.97,0.97,0.98,0.58,0.42,0.36,0.34,0.22
439,231,23809392,Cub Creek,1.71E+13,479655,3.05,19.39,73.41,0.06,1048.74,-0.25,0.48,0.9,0.02,0,0.07,0.01,22.68,24.33,25.31,25.79,27.94,12.76,13.93,14.33,14.48,15.73,1.17,1.57,1.72,2.97,1.2,1,0,0,1,1.03,0.04,0.23,0.98,0.99,0.99,0.99,0.98,0.88,0.94,0.96,0.96,0.98,0.64,0.47,0.42,0.4,0.26
440,232,23809394,Cub Creek,1.71E+13,479851,7.04,11.93,74.14,0.02,1157.69,-0.14,0.53,0.91,0.02,0,0.05,0.01,22.69,24.61,25.61,26.08,28.24,13.32,14.56,14.96,15.11,16.36,1.24,1.64,1.79,3.04,1.26,0,0,0,1,0.71,2.24,0.64,0.98,0.99,0.98,0.98,0.96,0.91,0.96,0.97,0.97,0.98,0.57,0.4,0.35,0.32,0.2
441,233,23809396,Cub Creek,1.71E+13,479894,1.71,4.89,75.76,0.14,1349.23,0.06,0.96,0.95,0,0,0.02,0.02,22.02,23.76,24.74,25.23,27.37,9.5,10.29,10.67,10.83,12.1,0.79,1.17,1.33,2.6,1.42,0,0,0,0,0,0.13,0,0.83,0.89,0.9,0.91,0.96,0.63,0.7,0.73,0.75,0.84,0.93,0.89,0.87,0.85,0.72
442,234,23809400,Cub Creek,1.71E+13,479872,2.72,2.72,77,0.07,1564.18,-0.18,0.99,0.95,0,0,0.02,0.02,21.14,23.22,24.21,24.69,26.83,9.02,9.74,10.13,10.29,11.56,0.72,1.11,1.27,2.54,1.43,0,0,0,0,0,0,0,0.8,0.85,0.87,0.88,0.94,0.58,0.65,0.69,0.7,0.8,0.94,0.92,0.91,0.9,0.78
443,533,23810062,Cultus Creek,1.71E+13,480015,2.56,2.56,64.78,0.14,1025.13,-0.45,0,0.94,0,0,0.06,0,20.76,23.05,24.12,24.46,26.57,13.28,14.52,14.91,15.06,16.32,1.24,1.63,1.78,3.04,2.46,0,0,0,0,0.02,0,0,0.95,0.96,0.96,0.96,0.93,0.88,0.92,0.93,0.94,0.95,0.56,0.43,0.4,0.36,0.26
444,795,23810626,Currin Creek,1.71E+13,480360,3.75,13.15,52.75,0.02,137.64,-0.13,0,0.23,0.09,0.58,0.05,0.04,25.76,28.85,30.01,30.34,32.5,22.71,25.08,25.5,25.62,26.85,2.37,2.79,2.91,4.14,1.45,1,0,0,1,0.83,2.25,0.52,0.5,0.21,0.17,0.15,0.06,0.66,0.44,0.4,0.39,0.28,0.01,0,0,0,0
445,796,23810628,Currin Creek,1.71E+13,480380,0.21,8.11,53.32,0.02,139.99,-0.31,0,0.23,0.09,0.58,0.07,0.03,25.68,28.66,29.85,30.18,32.39,22.07,24.35,24.77,24.89,26.13,2.28,2.7,2.82,4.06,1.79,0,0,0,0,0,0.7,0,0.56,0.3,0.26,0.25,0.13,0.72,0.51,0.47,0.46,0.34,0.01,0,0,0,0
446,797,23810630,Currin Creek,1.71E+13,480480,1.07,5.77,53.41,0.02,173.89,-0.15,0,0.28,0.09,0.51,0.09,0.01,25.56,28.66,29.85,30.18,32.39,21.75,24,24.42,24.54,25.77,2.25,2.67,2.79,4.02,2.03,0,0,0,0,0.13,1.19,0,0.58,0.35,0.29,0.29,0.16,0.74,0.55,0.51,0.5,0.38,0.01,0,0,0,0
447,798,23810632,Currin Creek,1.71E+13,480333,4.7,4.7,54.68,0.04,277.09,0.03,0,0.28,0.1,0.5,0.11,0,25,28.48,29.67,30,32.21,20.67,22.78,23.2,23.33,24.56,2.11,2.53,2.66,3.89,2.12,0,0,0,0,0.04,0,0,0.7,0.47,0.43,0.42,0.29,0.81,0.64,0.62,0.6,0.49,0.03,0.01,0.01,0.01,0
448,303,23809566,Deep Creek,1.71E+13,479812,1.61,127.9,49,0.01,127.87,0.42,0,0.31,0.14,0.45,0.08,0.02,25.96,29.15,30.17,30.49,32.43,23.46,25.91,26.34,26.46,27.68,2.45,2.88,3,4.22,1.15,1,1,0,1,0.82,0.32,0,0.42,0.11,0.07,0.06,0.01,0.6,0.36,0.33,0.31,0.2,0,0,0,0,0.00E+00
449,304,23809564,Deep Creek,1.71E+13,479740,0,127.91,49,0,41.91,-0.07,0,0.31,0.14,0.45,0.08,0.02,26.36,29.28,30.33,30.64,32.63,23.6,26.06,26.49,26.61,27.83,2.46,2.89,3.01,4.23,1.18,1,1,0,1,0.04,0,0.04,0.39,0.1,0.07,0.05,0.01,0.58,0.35,0.31,0.3,0.19,0,0,0,0,0.00E+00
450,305,23809568,Deep Creek,1.71E+13,479856,0.36,118.19,49,0.01,73.46,0,0,0.31,0.13,0.45,0.09,0.01,26.32,28.94,29.98,30.31,32.3,23.76,26.25,26.68,26.79,28.02,2.49,2.92,3.03,4.26,1.14,1,1,0,1,0.7,0.04,0,0.38,0.08,0.05,0.04,0.01,0.57,0.33,0.29,0.29,0.16,0,0,0,0,0.00E+00
451,318,23809596,Deep Creek,1.71E+13,479776,0.32,81.04,49.97,0.01,89.32,0.11,0,0.39,0.11,0.37,0.11,0.01,26.3,28.9,29.95,30.28,32.29,23.3,25.73,26.16,26.27,27.5,2.43,2.86,2.97,4.2,1.4,1,0,0,1,0.25,0.61,0,0.42,0.14,0.1,0.1,0.03,0.61,0.38,0.34,0.33,0.22,0,0,0,0,0.00E+00
452,319,23809598,Deep Creek,1.71E+13,479825,2.37,74.63,50,0.01,123.56,0.19,0,0.41,0.12,0.35,0.12,0.01,25.98,28.91,29.96,30.3,32.3,22.52,24.86,25.28,25.4,26.63,2.34,2.76,2.88,4.11,1.86,1,0,0,1,1.49,0.65,0,0.52,0.26,0.2,0.19,0.08,0.67,0.47,0.43,0.41,0.3,0.01,0,0,0,0
453,320,23809600,Deep Creek,1.71E+13,479861,7.39,36.23,50.62,0.01,191.75,0.12,0,0.47,0.05,0.29,0.17,0,25.51,29.02,30.13,30.46,32.57,22.43,24.76,25.18,25.3,26.53,2.33,2.75,2.87,4.1,2.04,1,0,0,1,2.03,3.14,0,0.53,0.26,0.23,0.21,0.11,0.67,0.48,0.42,0.42,0.31,0.01,0,0,0,0
454,321,23809602,Deep Creek,1.71E+13,479781,1.87,21.9,51.17,0.02,226.2,-0.17,0,0.49,0.05,0.24,0.22,0,25.12,28.98,30.11,30.44,32.57,22.61,24.96,25.39,25.51,26.73,2.35,2.78,2.9,4.12,2.4,1,0,0,1,2.41,0,0,0.51,0.26,0.22,0.22,0.12,0.66,0.45,0.42,0.39,0.31,0.01,0,0,0,0
455,322,23809604,Deep Creek,1.71E+13,479835,4.51,12.9,51.33,0.02,286.09,-0.06,0,0.5,0.04,0.2,0.26,0,24.95,28.33,29.45,29.79,31.91,23.26,25.68,26.11,26.23,27.45,2.42,2.85,2.97,4.19,2,1,0,0,1,1,1.95,0,0.44,0.18,0.13,0.13,0.05,0.62,0.39,0.35,0.33,0.23,0.01,0,0,0,0
456,323,23809606,Deep Creek,1.71E+13,479526,6.97,6.97,52.51,0.03,375.47,0.15,0,0.48,0.04,0.14,0.34,0,24.28,27.53,28.64,28.98,31.09,21.61,23.84,24.26,24.38,25.62,2.23,2.65,2.77,4.01,1.52,0,0,0,0,1.68,2.44,0,0.62,0.36,0.31,0.3,0.16,0.75,0.56,0.52,0.5,0.39,0.01,0,0,0,0
457,799,23810634,Delph Creek,1.71E+13,480458,4.04,30.95,55.49,0.03,324.08,0,0,0.6,0.03,0.13,0.25,0,24.64,28.01,29.2,29.53,31.74,20.51,22.61,23.03,23.16,24.39,2.1,2.52,2.65,3.88,1.92,1,1,0,1,3.11,0.02,2,0.7,0.51,0.45,0.44,0.32,0.82,0.67,0.64,0.61,0.52,0.03,0.01,0.01,0.01,0
458,800,23810636,Delph Creek,1.71E+13,480226,18.8,18.8,56.22,0.04,535.98,-0.1,0,0.71,0.01,0.03,0.26,0,22.84,26.51,27.64,27.98,30.14,18.77,20.66,21.08,21.21,22.45,1.89,2.31,2.44,3.68,1.72,1,0,0,1,6.88,0.69,4.07,0.84,0.69,0.66,0.65,0.52,0.92,0.82,0.79,0.78,0.68,0.07,0.03,0.02,0.02,0.01
459,568,23810142,Devils Spring Creek,1.71E+13,480025,2.72,2.72,76.96,0.11,1003.33,-0.37,0.32,0.91,0.01,0,0.08,0,23.18,23.99,25.01,25.41,27.57,11.79,12.84,13.23,13.39,14.65,1.05,1.44,1.6,2.86,2.47,0,0,0,0,0,0,0,0.92,0.94,0.95,0.96,0.96,0.79,0.86,0.88,0.88,0.93,0.71,0.6,0.57,0.55,0.41
460,20,23809260,Dickey Creek,1.71E+13,479428,0.86,0.86,67,0,1452.03,-0.24,0,0.99,0,0,0,0.01,21.54,23.56,24.53,24.94,27.05,13.29,14.52,14.92,15.07,16.32,1.23,1.63,1.78,3.03,2.62,0,0,0,0,0,0,0,0.95,0.95,0.95,0.95,0.93,0.87,0.92,0.93,0.93,0.94,0.55,0.43,0.37,0.38,0.27
461,163,23809250,Dickey Creek,1.71E+13,479604,4.99,23.89,68.61,0.05,886.25,-0.1,0,0.92,0,0,0.07,0,23.44,22.94,23.92,24.33,26.45,15.64,17.16,17.56,17.7,18.95,1.52,1.92,2.06,3.31,2.14,0,0,0,1,1.93,0.3,1.31,0.95,0.91,0.89,0.89,0.82,0.96,0.95,0.95,0.94,0.9,0.3,0.18,0.15,0.13,0.08
462,164,23809252,Dickey Creek,1.71E+13,479757,0.01,15.62,68,0,803.13,-0.22,0,0.91,0,0,0.09,0,22.72,22.38,23.36,23.76,25.85,15.18,16.65,17.05,17.19,18.44,1.47,1.87,2.01,3.26,2.08,0,0,0,0,0,0.12,0,0.97,0.93,0.92,0.91,0.85,0.95,0.96,0.96,0.95,0.92,0.36,0.21,0.18,0.18,0.1
463,165,23809254,Dickey Creek,1.71E+13,479768,2.55,14.45,67.85,0.04,1026.97,0,0,0.9,0,0,0.1,0,22.21,22.38,23.36,23.76,25.85,15.02,16.46,16.87,17.01,18.26,1.44,1.85,1.99,3.24,2.3,0,0,0,0,1,0.35,0.23,0.96,0.93,0.92,0.91,0.86,0.94,0.95,0.96,0.95,0.92,0.37,0.24,0.2,0.19,0.11
464,166,23809256,Dickey Creek,1.71E+13,479922,0.35,9.31,67.24,0.07,966,-0.07,0,0.96,0,0,0.04,0,22.14,22.38,23.36,23.76,25.85,14.36,15.73,16.13,16.28,17.53,1.37,1.77,1.92,3.17,2.39,0,0,0,0,0.36,0,0,0.96,0.95,0.94,0.94,0.89,0.92,0.94,0.95,0.95,0.94,0.44,0.3,0.27,0.26,0.17
465,167,23809258,Dickey Creek,1.71E+13,479863,6.16,7.02,67,0.14,1277.02,-0.16,0,0.95,0,0,0.05,0,22,22.46,23.44,23.84,25.94,12.95,14.14,14.54,14.69,15.95,1.19,1.59,1.74,3,1.98,0,0,0,0,0.84,0,0,0.97,0.98,0.97,0.97,0.95,0.87,0.93,0.94,0.94,0.97,0.6,0.46,0.42,0.4,0.25
466,266,23809490,Dinger Creek,1.71E+13,479827,11.61,11.61,76.99,0.05,1259.86,0.31,0.84,0.83,0.03,0,0.12,0.01,20.54,21.9,22.93,23.33,25.47,9.22,9.97,10.35,10.52,11.78,0.75,1.13,1.3,2.56,1.43,0,0,0,0,0.26,0.59,0,0.82,0.87,0.88,0.89,0.95,0.61,0.67,0.71,0.72,0.81,0.94,0.91,0.89,0.88,0.76
467,859,23809488,Dinger Creek,1.71E+13,480419,1.73,15.53,76.92,0.04,1057.62,0.3,0.73,0.86,0.02,0,0.11,0.01,22.22,22.92,23.95,24.35,26.5,10.56,11.47,11.86,12.01,13.28,0.91,1.3,1.45,2.72,2.42,0,0,0,0,0.7,0.62,0,0.87,0.9,0.92,0.93,0.95,0.71,0.78,0.79,0.82,0.88,0.82,0.74,0.71,0.69,0.56
468,730,23810492,Dinner Creek,1.71E+13,480394,3.28,3.28,72.1,0.33,1058.09,0.01,0,1,0,0,0,0,22.55,24.27,25.32,25.7,27.83,11.41,12.42,12.81,12.97,14.23,1.01,1.4,1.56,2.82,2.6,0,0,0,0,0.04,0,0,0.9,0.93,0.94,0.94,0.95,0.77,0.82,0.84,0.86,0.91,0.75,0.65,0.59,0.59,0.45
469,815,23810666,Doane Creek,1.71E+13,480308,7.29,7.29,49.74,0.01,192.38,0.21,0,0.13,0.11,0.69,0.03,0.03,25.49,28.45,29.53,29.86,31.91,21.09,23.25,23.67,23.8,25.03,2.16,2.58,2.71,3.94,2.33,0,0,0,0,0,3.16,0,0.65,0.43,0.38,0.37,0.25,0.77,0.6,0.57,0.55,0.44,0.03,0.01,0.01,0,0
470,523,23810034,Dog Creek,1.71E+13,479724,1.97,1.97,65.79,0.25,808.64,-0.49,0,0.98,0,0,0.02,0,22.5,25.24,26.3,26.67,28.79,11.82,12.89,13.28,13.43,14.69,1.07,1.46,1.61,2.87,1.67,0,0,0,0,0.03,0,0,0.95,0.97,0.97,0.98,0.98,0.82,0.88,0.9,0.91,0.96,0.74,0.62,0.57,0.55,0.38
471,414,23809800,Dolan Creek,1.71E+13,480139,3,3,50,0.02,221.21,-0.08,0,0.14,0.12,0.7,0.03,0,25.17,28.23,29.3,29.64,31.68,20.59,22.7,23.11,23.24,24.48,2.11,2.52,2.65,3.89,2.29,0,0,0,0,0,1.1,0,0.69,0.5,0.43,0.43,0.29,0.8,0.66,0.61,0.62,0.5,0.04,0.01,0.01,0.01,0
472,496,23809976,Dry Creek,1.71E+13,479682,1.96,1.96,62,0.08,799.17,0.56,0,0.98,0,0,0.02,0,21.16,25.2,26.29,26.64,28.78,14.53,15.92,16.32,16.47,17.72,1.39,1.79,1.94,3.19,2.47,0,0,0,0,0.28,0,0,0.96,0.94,0.93,0.92,0.88,0.92,0.95,0.95,0.94,0.93,0.43,0.29,0.25,0.23,0.16
473,455,23809890,Dubois Creek,1.71E+13,480073,0,7.63,54,0.22,171.03,-0.29,0,0.38,0.11,0.47,0.03,0,25.57,28.66,29.85,30.18,32.39,19.26,21.21,21.62,21.75,22.99,1.95,2.36,2.49,3.73,2.32,1,0,0,0,0,0,0,0.79,0.64,0.58,0.58,0.45,0.88,0.75,0.74,0.73,0.63,0.07,0.03,0.02,0.02,0.01
474,456,23810454,Dubois Creek,1.71E+13,480117,0.06,7.63,54.09,0.06,148.37,-0.29,0,0.38,0.11,0.47,0.03,0,25.57,28.66,29.85,30.18,32.39,19.25,21.2,21.62,21.75,22.99,1.95,2.37,2.5,3.74,2.32,0,0,0,0,0,0,0,0.78,0.63,0.58,0.59,0.46,0.88,0.76,0.74,0.73,0.62,0.07,0.03,0.02,0.02,0.01
475,478,23809934,Dubois Creek,1.71E+13,479962,6.1,6.1,53.99,0.04,302.65,-0.26,0,0.36,0.11,0.5,0.03,0,24.85,28.18,29.36,29.69,31.88,18.99,20.91,21.32,21.46,22.7,1.92,2.33,2.47,3.71,1.86,0,0,0,0,3.16,0,0.35,0.82,0.67,0.64,0.63,0.49,0.91,0.8,0.77,0.76,0.66,0.07,0.02,0.02,0.02,0.01
476,661,23810328,Dunno Creek,1.71E+13,480259,1.3,1.3,70,0.25,1048.72,-0.11,0,0.95,0,0,0.05,0,23.72,23.93,24.92,25.35,27.51,12.54,13.68,14.08,14.23,15.49,1.14,1.54,1.69,2.95,2.54,0,0,0,0,0,0,0.03,0.93,0.96,0.96,0.96,0.95,0.83,0.89,0.9,0.91,0.94,0.63,0.51,0.46,0.44,0.32
477,812,23810660,Dutch Creek,1.71E+13,480416,4.78,4.78,67,0.17,1068.73,0.37,0,0.74,0,0,0.26,0,22.01,24.08,25.08,25.44,27.55,14.5,15.89,16.29,16.43,17.69,1.39,1.79,1.93,3.19,2.47,0,0,0,0,0.62,0,0,0.96,0.94,0.93,0.93,0.88,0.92,0.95,0.95,0.95,0.93,0.45,0.28,0.26,0.23,0.15
478,838,23810716,Dyke Creek,1.71E+13,480319,1.82,9.58,75.97,0.11,949.7,-0.27,0.35,0.93,0.02,0,0.06,0,23.31,24.23,25.23,25.66,27.81,8.22,8.86,9.24,9.4,10.67,0.64,1.02,1.18,2.45,2.29,0,0,0,0,0,0,0,0.74,0.77,0.8,0.81,0.87,0.52,0.57,0.6,0.61,0.72,0.86,0.87,0.87,0.87,0.82
479,839,23810718,Dyke Creek,1.71E+13,480208,0.23,7.76,77,0.18,1076.9,0.17,0.44,0.93,0.01,0,0.06,0,23.25,24.23,25.23,25.66,27.81,7.28,7.8,8.18,8.35,9.62,0.52,0.9,1.07,2.34,2.37,0,0,0,0,0,0,0,0.64,0.69,0.71,0.72,0.82,0.42,0.49,0.51,0.52,0.63,0.81,0.84,0.85,0.85,0.86
480,840,23810720,Dyke Creek,1.71E+13,480177,5.74,5.74,76.96,0.03,1206.98,-0.37,0.42,0.93,0.01,0,0.06,0,22.39,23.61,24.6,25.04,27.19,9.04,9.76,10.15,10.31,11.58,0.72,1.11,1.27,2.54,2.39,0,0,0,0,0,1.26,0,0.77,0.82,0.85,0.86,0.91,0.59,0.65,0.68,0.68,0.78,0.86,0.85,0.83,0.82,0.73
481,278,23809514,Eagle Creek,1.71E+13,479420,0,232.93,51,0,73.64,-0.11,0,0.72,0.02,0.11,0.15,0,26.14,29.24,30.34,30.66,32.73,25.11,27.76,28.19,28.3,29.52,2.65,3.08,3.19,4.41,1.92,1,1,0,1,0,0,0,0.24,0.03,0.03,0.02,0,0.44,0.2,0.17,0.17,0.09,0,0,0.00E+00,0.00E+00,0.00E+00
482,279,23809516,Eagle Creek,1.71E+13,479560,0.02,232.93,51,0.01,61.35,-0.11,0,0.72,0.02,0.11,0.15,0,26.14,29.24,30.34,30.66,32.73,25.11,27.76,28.19,28.3,29.52,2.65,3.08,3.19,4.41,1.92,1,1,0,1,0,0.11,0.15,0.23,0.04,0.03,0.02,0.01,0.44,0.21,0.17,0.17,0.09,0,0,0.00E+00,0.00E+00,0.00E+00
483,280,23809518,Eagle Creek,1.71E+13,479692,6.57,232.91,51.08,0.01,131.96,-0.16,0,0.72,0.02,0.11,0.15,0,25.84,28.92,30.07,30.4,32.54,24.64,27.23,27.66,27.78,29,2.59,3.02,3.14,4.36,2,1,1,0,1,0,1.8,2.12,0.28,0.06,0.05,0.04,0.01,0.49,0.25,0.21,0.21,0.12,0,0,0,0,0.00E+00
484,281,23809520,Eagle Creek,1.71E+13,479834,11.33,213.19,52.05,0.01,182.51,-0.09,0,0.76,0.01,0.06,0.16,0,25.35,28.85,30,30.33,32.48,23.26,25.69,26.12,26.24,27.46,2.43,2.86,2.98,4.2,1.41,1,1,0,1,4.05,1.66,7.07,0.43,0.14,0.11,0.09,0.02,0.62,0.38,0.34,0.33,0.22,0,0,0,0,0.00E+00
485,282,23809522,Eagle Creek,1.71E+13,479913,5.85,129.61,54.6,0.01,265.09,-0.1,0,0.79,0.01,0.05,0.15,0,24.84,28.01,29.2,29.53,31.74,21.54,23.76,24.18,24.31,25.54,2.22,2.64,2.77,4,2.25,1,1,0,1,3.36,0.82,4.22,0.61,0.37,0.32,0.32,0.19,0.75,0.57,0.53,0.51,0.41,0.02,0.01,0,0,0
486,283,23809524,Eagle Creek,1.71E+13,479719,4.34,92.81,54.23,0.01,329.02,0.03,0,0.87,0,0.02,0.11,0,24.52,27.9,29.08,29.41,31.62,20.68,22.8,23.22,23.34,24.58,2.12,2.54,2.66,3.9,2.34,1,1,0,1,3.18,0,2.56,0.69,0.47,0.43,0.42,0.3,0.81,0.65,0.6,0.61,0.49,0.04,0.01,0.01,0.01,0
487,284,23809526,Eagle Creek,1.71E+13,479791,12.87,83.14,54.39,0.02,461.92,0.01,0,0.92,0,0,0.08,0,23.26,26.71,27.84,28.18,30.33,19.34,21.31,21.72,21.85,23.09,1.97,2.38,2.51,3.75,1.74,0,1,0,1,7.66,0,6.86,0.8,0.64,0.6,0.59,0.44,0.89,0.77,0.73,0.73,0.63,0.05,0.02,0.01,0.01,0
488,288,23809534,Eagle Creek,1.71E+13,479923,0.12,50.62,56.79,0.01,433.4,0.44,0,0.95,0,0,0.05,0,22.95,25.85,26.95,27.3,29.43,18.35,20.19,20.6,20.73,21.97,1.84,2.25,2.38,3.62,1.76,0,0,0,0,0.29,0,0,0.87,0.73,0.7,0.69,0.58,0.94,0.85,0.83,0.82,0.72,0.09,0.03,0.03,0.02,0.01
489,289,23809536,Eagle Creek,1.71E+13,479735,0.2,46.87,56.8,0.03,457.54,0.17,0,0.95,0,0,0.05,0,22.51,25.85,26.95,27.3,29.43,17.89,19.68,20.09,20.22,21.47,1.79,2.2,2.33,3.58,2.38,0,0,0,0,0.36,0,0,0.86,0.76,0.73,0.71,0.59,0.93,0.86,0.83,0.83,0.74,0.13,0.06,0.05,0.04,0.02
490,290,23809538,Eagle Creek,1.71E+13,479842,9.75,43.68,57,0.03,667.89,0.14,0,0.95,0,0,0.04,0,21.42,24.94,26.03,26.38,28.5,16.83,18.49,18.89,19.03,20.28,1.66,2.06,2.2,3.45,2.36,0,0,0,0,5.72,0,0,0.92,0.83,0.82,0.81,0.71,0.95,0.91,0.9,0.89,0.84,0.2,0.11,0.09,0.08,0.05
491,291,23809540,Eagle Creek,1.71E+13,479917,1.01,32.82,59.32,0.02,751.25,-0.04,0,0.99,0,0,0.01,0,20.73,23.83,24.91,25.27,27.38,15.71,17.23,17.63,17.78,19.03,1.52,1.92,2.07,3.32,2.02,0,0,0,0,0.79,0,0,0.96,0.91,0.89,0.89,0.81,0.96,0.96,0.95,0.95,0.9,0.3,0.17,0.14,0.13,0.07
492,292,23809542,Eagle Creek,1.71E+13,479816,5.8,29.54,61.85,0.03,899.48,-0.02,0,0.98,0,0,0.01,0,20.45,23.82,24.9,25.26,27.37,15.19,16.65,17.06,17.2,18.45,1.46,1.87,2.01,3.26,2.25,0,0,0,0,2.2,0,0,0.96,0.93,0.92,0.9,0.84,0.95,0.96,0.95,0.95,0.92,0.36,0.22,0.19,0.17,0.11
493,293,23809544,Eagle Creek,1.71E+13,479581,9.24,20.03,63.66,0.02,955.94,0.05,0,0.99,0,0,0,0,20.4,23.08,24.14,24.51,26.63,14.9,16.33,16.73,16.87,18.12,1.43,1.83,1.97,3.22,2.41,0,0,0,0,3.07,0,0,0.96,0.93,0.92,0.91,0.86,0.93,0.95,0.95,0.95,0.92,0.4,0.25,0.21,0.21,0.14
494,294,23809546,Eagle Creek,1.71E+13,479641,7.82,7.82,69.94,0.1,1061.42,-0.2,0,1,0,0,0,0,20.7,22.81,23.87,24.25,26.38,13.03,14.23,14.63,14.78,16.03,1.2,1.6,1.75,3,1.73,0,0,0,0,1.23,0,0,0.97,0.98,0.98,0.98,0.96,0.88,0.93,0.95,0.96,0.97,0.6,0.44,0.38,0.38,0.25
495,187,23809304,East Fork Collawash River,1.71E+13,479878,0.06,42.13,69,0.09,711.8,0.05,0,0.93,0,0,0.07,0,23.76,24.16,25.15,25.57,27.74,15.59,17.1,17.5,17.64,18.89,1.51,1.91,2.05,3.3,1.15,0,0,0,1,0.24,0,0.08,0.98,0.94,0.92,0.91,0.84,0.98,0.98,0.98,0.97,0.93,0.27,0.14,0.12,0.11,0.06
496,188,23809306,East Fork Collawash River,1.71E+13,479806,0.21,41.44,69.84,0.02,771.08,-0.22,0,0.93,0,0,0.07,0,23.28,24.19,25.18,25.61,27.77,15.94,17.49,17.89,18.03,19.28,1.55,1.95,2.09,3.34,1.18,0,0,0,1,0.5,0,0.23,0.97,0.92,0.9,0.9,0.82,0.99,0.97,0.96,0.96,0.91,0.23,0.12,0.1,0.09,0.04
497,189,23809308,East Fork Collawash River,1.71E+13,479855,3.36,35.83,70.33,0.05,1012.55,0.03,0,0.92,0,0,0.07,0,22.84,24.03,25.02,25.46,27.61,15.14,16.6,17.01,17.15,18.4,1.46,1.87,2.01,3.26,1.6,0,0,0,1,1.77,0,0.22,0.98,0.95,0.93,0.93,0.86,0.97,0.98,0.97,0.97,0.94,0.33,0.2,0.17,0.16,0.08
498,190,23809310,East Fork Collawash River,1.71E+13,479891,3.1,28.23,71.31,0.04,1063.03,0.02,0,0.92,0,0,0.08,0,23.02,24.13,25.12,25.56,27.71,14.91,16.34,16.74,16.88,18.13,1.43,1.83,1.97,3.22,2.07,0,0,0,0,1.32,0,0.19,0.97,0.93,0.93,0.92,0.87,0.95,0.96,0.96,0.96,0.93,0.39,0.23,0.2,0.18,0.12
499,191,23809312,East Fork Collawash River,1.71E+13,479784,0.52,22.61,72,0.04,1051.21,0.27,0,0.91,0,0,0.09,0,23.27,24.37,25.36,25.79,27.94,14.8,16.22,16.62,16.77,18.02,1.42,1.82,1.97,3.22,2.18,0,0,0,0,0.6,0,0.14,0.97,0.94,0.93,0.92,0.87,0.94,0.96,0.96,0.96,0.93,0.4,0.24,0.21,0.21,0.12
500,192,23809314,East Fork Collawash River,1.71E+13,479886,0.03,20.97,71.63,0.08,926.99,-0.21,0,0.9,0,0,0.09,0,23.27,24.37,25.36,25.79,27.94,14.35,15.71,16.11,16.25,17.51,1.36,1.76,1.9,3.16,2.19,0,0,0,0,0.2,0,0,0.97,0.95,0.94,0.94,0.89,0.92,0.96,0.96,0.96,0.95,0.45,0.29,0.26,0.24,0.16
501,193,23809316,East Fork Collawash River,1.71E+13,479704,0.28,19.43,71.82,0.03,1011.23,0.04,0,0.9,0,0,0.1,0,23.27,24.37,25.36,25.79,27.94,14.88,16.31,16.71,16.86,18.11,1.43,1.83,1.98,3.23,2.23,0,0,0,0,0.37,0,0.2,0.97,0.94,0.92,0.92,0.87,0.94,0.96,0.96,0.96,0.93,0.39,0.24,0.21,0.19,0.12
502,194,23809318,East Fork Collawash River,1.71E+13,479924,3.2,17.4,71.11,0.02,1092.73,-0.08,0,0.89,0,0,0.1,0,22.63,24.33,25.31,25.75,27.9,14.8,16.22,16.62,16.77,18.02,1.42,1.82,1.97,3.22,2.28,0,0,0,0,0.58,0.55,1.1,0.96,0.94,0.93,0.92,0.87,0.94,0.95,0.96,0.95,0.93,0.39,0.25,0.22,0.2,0.12
