Unnamed: 0,FID,COMID,Name,REACHCODE,GRIDCODE,Reach_Km2,UpstrmKm2,BFI,Slope,Elevation,Solar,HiCascade,Forest,Developed,Ag,Shrub,Water,AirC,Air245mid,Air245late,Air585mid,Air585late,STpresent,ST_245mid,ST_245late,ST_585mid,ST_585late,Diff_245mi,Diff_245la,Diff_585mi,Diff585la,pred_SE,CO,CHS,BT,STW,ST_HIP_km,CO_HIP_km,CH_HIP_km,ADULTp,ADULT245m,ADULT245l,ADULT585m,ADULT585l,JUVp,JUV245m,JUV245l,JUV585m,JUV585l,BTp,BT245m,BT245l,BT585m,BT585l
10,155,23809234, ,1.71E+13,479688,2.1,2.1,63.71,0.17,1237.98,-0.27,0,0.84,0,0,0.15,0.01,21.78,22.98,23.96,24.34,26.43,13.11,14.33,14.73,14.88,16.13,1.22,1.62,1.77,3.02,1.9,0,0,0,0,0.2,0.16,0,0.97,0.97,0.98,0.97,0.95,0.88,0.94,0.95,0.95,0.97,0.57,0.44,0.39,0.37,0.24
11,216,23809362, ,1.71E+13,479895,2.4,2.4,71.83,0.18,1366.27,-0.1,0,0.72,0,0,0.28,0,21.5,22.37,23.37,23.78,25.94,11.49,12.51,12.9,13.06,14.32,1.02,1.41,1.57,2.83,2.52,0,0,0,0,0,0,0,0.9,0.94,0.95,0.95,0.96,0.77,0.84,0.86,0.87,0.91,0.73,0.65,0.61,0.56,0.44
12,351,23809664, ,1.71E+13,479634,0.05,13.83,51,0.01,64.64,-0.07,0,0.19,0.11,0.65,0.03,0.02,26.08,29.24,30.34,30.66,32.73,22.8,25.18,25.6,25.72,26.95,2.38,2.8,2.92,4.15,1.53,1,0,0,1,0,0.21,0.21,0.48,0.2,0.16,0.14,0.06,0.66,0.44,0.39,0.38,0.27,0.01,0,0,0,0
13,403,23809774, ,1.71E+13,480179,1.63,1.63,65.74,0.17,1122.29,-0.5,0,0.85,0,0,0.14,0,21.5,22.86,23.89,24.23,26.3,13.77,15.07,15.47,15.61,16.87,1.3,1.7,1.84,3.1,2.26,0,0,0,0,0,0,0,0.96,0.96,0.96,0.95,0.92,0.91,0.94,0.95,0.95,0.95,0.49,0.37,0.33,0.31,0.21
14,404,23809778, ,1.71E+13,480205,3.66,3.66,47.31,0,160.14,0.06,0,0.39,0.25,0.33,0.02,0,25.81,29,30.02,30.34,32.26,20.16,22.22,22.64,22.76,24,2.06,2.48,2.6,3.84,2.17,0,0,0,0,0,1.11,0,0.71,0.55,0.49,0.48,0.34,0.84,0.7,0.65,0.66,0.55,0.04,0.01,0.01,0.01,0
15,405,23809780, ,1.71E+13,480012,0.82,0.82,47.4,0.07,157.47,0.2,0,0.38,0.28,0.29,0.05,0,26.04,29.35,30.34,30.64,32.52,19.78,21.79,22.21,22.33,23.57,2.01,2.43,2.55,3.79,1.82,0,0,0,0,0,0,0,0.78,0.6,0.55,0.53,0.39,0.87,0.73,0.7,0.7,0.58,0.04,0.01,0.01,0.01,0
16,406,23809782, ,1.71E+13,480100,0.48,4.97,47.98,0.01,116.77,0.2,0,0.36,0.26,0.34,0.02,0,25.97,29.29,30.3,30.6,32.49,20.05,22.1,22.51,22.64,23.88,2.05,2.46,2.59,3.83,1.73,0,0,0,0,0,0.68,0.13,0.75,0.57,0.52,0.51,0.35,0.86,0.72,0.68,0.66,0.55,0.04,0.01,0.01,0.01,0
17,407,23809784, ,1.71E+13,479972,1.53,1.53,47.74,0.05,180.75,0.31,0,0.41,0.36,0.18,0.03,0,26.14,29.35,30.34,30.64,32.52,19.9,21.93,22.34,22.47,23.71,2.03,2.44,2.57,3.81,1.56,0,0,0,0,0,0,0,0.77,0.59,0.53,0.52,0.38,0.87,0.73,0.7,0.68,0.57,0.04,0.01,0.01,0.01,0
18,408,23809786, ,1.71E+13,479957,1.04,1.04,47.52,0.06,184.29,0.16,0,0.11,0.8,0.08,0.01,0,26.43,29.35,30.34,30.64,32.52,19.85,21.87,22.29,22.41,23.65,2.02,2.44,2.56,3.8,1.91,0,0,0,0,0,0,0,0.76,0.59,0.54,0.53,0.37,0.86,0.72,0.69,0.68,0.57,0.05,0.01,0.01,0.01,0
19,409,23809788, ,1.71E+13,480057,1.11,1.11,49.73,0.03,210.24,0.41,0,0.17,0.31,0.46,0.03,0.02,25.7,28.89,29.94,30.28,32.28,20.44,22.53,22.94,23.07,24.31,2.09,2.5,2.63,3.87,2.44,0,0,0,0,0,0,0,0.7,0.49,0.45,0.46,0.32,0.82,0.67,0.63,0.62,0.5,0.05,0.02,0.01,0.01,0
