"","SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
"WetlandBuf",-0.201300825781532,-0.190666994549709,-0.364832710154333,-0.3586855701713,0.456717877448993,0.145781515914878,0.451343958690109,-0.0648849277569033,0.244077651070707,-0.0741093761919703,0.289571453317536,-0.457347286522483,-0.419910968738183,-0.314063320146384,0.0408558762128281,0.0369811649844908,-0.251232832496971,0.482818561289616,0.892259929322813,0.335002028246084,-0.00769554699436726,0.504813354478424,0.402936800112827,-0.426204461895905,-0.47274944871342,0.427228645914392,0.451643684376337,-0.103414645267988,1,0.39210167038005,-0.0259190354707966,0.0524452481314515,-0.452362646942842,-0.33947113857371,0.395002925094466,0.334442096317017,-0.450133601707708,-0.192851691532374,0.390174316732881,-0.473008524147942,0.140769789496879
"LakesBuf",-0.173378012268165,-0.0231235278672561,-0.540701921373334,-0.562118643085507,0.553090848058127,0.130052939282782,0.482507815873745,-0.193410581030592,0.262879090552062,-0.32953367111717,0.302408202140818,-0.241271714949237,-0.356525686045941,-0.168569930481947,-0.10240666523923,0.0350114052454924,-0.113463440024316,0.573167911140332,0.38187490348587,0.786663325994832,-0.339998797860338,0.686800787383983,0.144303227973698,-0.430447385979375,-0.482679354808942,0.631504807463101,0.439544011473052,-0.140662114405696,0.39210167038005,1,-0.2827267397123,-0.10879504867744,-0.44560398407724,-0.229214398926179,0.207729801648105,0.0101435880692526,-0.495325785220785,0.193155680858949,0.314801009045772,-0.500727925993299,0.374007564010578
"HiCascBuf",0.131765099307558,-0.381560992298595,0.54099861135361,0.543178484556846,-0.366019219873567,0.158178994587916,-0.357600148580799,0.231639904344734,-0.0270237667551098,0.561233566522643,-0.207413501778138,0.0868247122956836,0.279996853261228,0.132822932446742,0.112374632507803,-0.0146934128500388,0.00990430919498329,-0.35760708762452,-0.123634290325365,-0.3576487303714,0.875804465090232,-0.366026216522996,-0.0763557598311261,0.368766932632241,0.421792914863879,-0.282716783201511,-0.266058569565922,0.131856711504583,-0.0259190354707966,-0.2827267397123,1,0.00118450780874059,0.40329547920168,0.261019369899928,-0.0842174228554615,0.126351825992422,0.329419095745188,-0.421395414788066,-0.333375618966586,0.347197758532247,-0.479494619289924
"RoadsBuf",-0.144774825497413,0.0511300884421687,-0.0323028679817484,0.0429513235769212,-0.0575533232627494,-0.109764786203418,0.0127747731862045,-0.11822217791901,0.27623579800388,0.0999849538218946,0.0495833582832742,0.0409700538838183,0.0114110142209848,0.0317550706762265,-0.197771181728781,0.0987342840646226,-0.012737389751746,-0.0532513872211104,-0.000147194865604013,-0.132227568248646,-0.0665591607651605,-0.0412985939078146,0.601216976234641,-0.123827660596702,-0.107676226605828,0.179078990963397,0.0845302880448942,0.00334842817759236,0.0524452481314515,-0.10879504867744,0.00118450780874059,1,-0.275557648776442,-0.288082263757389,0.216036408169468,0.179090023486255,-0.00348185824239704,-0.151444713830186,0.220598287255572,-0.0140563906822695,-0.00920332067433297
"VegHtBuf",0.475659684605325,0.0812949293192454,0.683022145028224,0.582307389680773,-0.517155512978822,-0.152674171129767,-0.527479515477045,0.0300467668469026,-0.441274846816871,0.187921201796544,-0.353023972069183,0.355660615079138,0.444503408202939,0.268556862690713,-0.0285142209331999,-0.313128635384576,0.0556363001022013,-0.597232870053994,-0.477298206371518,-0.334975562675969,0.425849741395055,-0.609934659743841,-0.484938645130963,0.751274505073897,0.769768900467989,-0.575988737581152,-0.624636690162631,0.0288442549663547,-0.452362646942842,-0.44560398407724,0.40329547920168,-0.275557648776442,1,0.850404464386227,-0.50324064420764,-0.349362325081415,0.59787066403819,0.0494218305471246,-0.614596568291041,0.615111211498821,-0.37778599806932
"VegCovBuf",0.577460379312044,0.0938389540213248,0.61290426336019,0.394332446421489,-0.311404904597805,-0.235502888997382,-0.312230423176717,-0.286720836031182,-0.314079888784605,0.0976879343800422,-0.281349529898536,0.303078545664689,0.333357455972764,0.230088210941735,-0.269719119724024,-0.499851262308301,-0.261539557371932,-0.402807143367581,-0.406546265486526,-0.171091948784498,0.319636526473794,-0.436283788150918,-0.483266054705678,0.723581158231614,0.602225760280471,-0.411331700092953,-0.504632103691295,-0.29394251353425,-0.33947113857371,-0.229214398926179,0.261019369899928,-0.288082263757389,0.850404464386227,1,-0.460911240367734,-0.348944177475094,0.455989964693337,0.0992457261003274,-0.585197575046607,0.463709612810037,-0.28992056183509
"MeanMaxAir",-0.413473064980847,0.102848228554788,-0.566959906370903,-0.470483221167899,0.564986374896762,0.0394343102707279,0.58575781506779,-0.218135067069406,0.517093885066876,-0.0216580940127001,0.392251644825899,-0.326019316677616,-0.25608452294027,-0.0447582363809004,-0.25544610189399,0.250842227525606,-0.265065007906746,0.581688335716318,0.405988217435021,0.171539153474096,-0.126608049479303,0.569941754969323,0.518535792978111,-0.480596343065319,-0.472908860149105,0.529371720523171,0.736373590228509,-0.122999444576337,0.395002925094466,0.207729801648105,-0.0842174228554615,0.216036408169468,-0.50324064420764,-0.460911240367734,1,0.919680910947778,-0.722083728709973,-0.623108223298004,0.919873908358396,-0.706322273509497,0.205342211515875
"MaxAir_C",-0.311363474764997,-0.019733350498315,-0.295807266271807,-0.189267649359171,0.315833397604673,0.0358259420106613,0.34810174756954,-0.0675886877148599,0.469784200719733,0.243203083419937,0.261267857582771,-0.221269892349019,-0.0558802962145959,0.0260379391666107,-0.192722447837038,0.237205827183167,-0.250452984353443,0.330548499698971,0.302402477713256,-0.0535695450956288,0.126743992266862,0.336704861426731,0.50229184425109,-0.266376107826888,-0.25305971482558,0.325963022125911,0.561528173341222,-0.109676881351275,0.334442096317017,0.0101435880692526,0.126351825992422,0.179090023486255,-0.349362325081415,-0.348944177475094,0.919680910947778,1,-0.52931148173762,-0.817263618379787,0.750904675362272,-0.511169725139521,-0.0722533132070505
"Precip_mm",0.370300075040812,-0.200308786028128,0.836118304039851,0.775308999405864,-0.834180298919664,-0.0229550212972987,-0.827777299549022,0.3608139801291,-0.568359443767996,0.310102921940406,-0.510897894943216,0.450322824516128,0.508229283989152,0.243138705571848,0.19503839814068,-0.125734686648036,0.317784318692111,-0.848162258513565,-0.448071963928788,-0.485394496178169,0.383132089601828,-0.851888022309938,-0.326020875886582,0.714437350600364,0.727657248000213,-0.686028285910897,-0.764613228007556,0.253067588600835,-0.450133601707708,-0.495325785220785,0.329419095745188,-0.00348185824239704,0.59787066403819,0.455989964693337,-0.722083728709973,-0.52931148173762,1,0.239300706048861,-0.794136095340721,0.995400228380269,-0.489112958199965
"SumPrecip",0.130500174136923,0.113269753512333,-0.135302915845415,-0.256704703553852,0.049795528185048,-0.0649345198943237,0.0151041357103251,0.00276941466827222,-0.380535815904421,-0.605896662681557,-0.0604893198977996,-0.0323542894917315,-0.261005205139311,-0.259462676080872,0.161055044032388,-0.192565912854615,0.212526987736187,0.0396778328429207,-0.110520827841133,0.23025010279889,-0.481599982056562,0.0166572732570637,-0.396947424288724,-0.0825519870479632,-0.108444973439395,-0.0205390709023599,-0.184158488920802,0.138094275386385,-0.192851691532374,0.193155680858949,-0.421395414788066,-0.151444713830186,0.0494218305471246,0.0992457261003274,-0.623108223298004,-0.817263618379787,0.239300706048861,1,-0.372082924554096,0.21067275680718,0.434420432444973
