"SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
0.0027,-0.1262,72.5332,52.41,0.0035,0.0064,0.0071,0.1155,1.3465,0.2136,0.0069,58.3208,21.947,0.7567,0.2166,1773.6634,0.0097,0.2935,0.0271,3e-04,0,0.0773,2.3777,31.2231,12.1912,0.0199,0.1689,0.0382,0.1205,0,0,1.1981,8.2174,22.4629,27.4744,29.2923,1281.8492,145.6413,20.1858,1005.1628,0.19
0.0029,-0.1209,61.6407,51,0.0038,0.0064,0.0091,0.1151,1.3492,0.2127,0.007,58.1679,21.8912,0.7559,0.2167,1781.361,0.004,0.0942,0.091,3e-04,0,0.11,3.1387,32.7716,12.7244,0,0,0,0.1396,0.0082,0,0,9.3203,24.0758,27.4803,29.2985,1281.7617,145.5753,20.193,1005.201,0.214
0.0177,0.0137,290.024,54.39,1e-04,2e-04,0.0012,0,0.5018,0,0.0024,70.2329,23.9399,0.8865,0.0386,77.2033,0,0.0131,0,0.001,0,0.001,0.6922,52.6523,19.3121,0,0,0,7e-04,0.0085,0,0.3472,24.2557,58.5897,23.3933,25.0223,1425.6228,168.5086,16.9464,1139.9148,0.397
0.0308,0.1376,514.687,57,0,3e-04,0,0,0.0479,0,0.0019,73.4633,23.9132,0.8118,0.0125,38.2072,0,0,0,0,0,0,0.4236,65.1194,24.2263,0,0,0,0,0,0,0.0052,26.1842,63.0419,22.1575,24.2529,2216.2768,218.9887,16.223,1808.3597,0.271
0.0042,0.0193,445.28,67.49,0,0.0023,0,0.0454,0.9936,0.0122,0.0038,64.0682,23.7227,0.9118,0.0844,394.3549,0.124,0,0,0,0,0,2.27,62.5308,24.8616,0,0,0,0,0,0,4.7759,21.7528,49.3035,25.5771,28.1535,1620.8886,140.3165,18.0108,1319.177,0.367
0.0175,-0.0783,676.332,69.67,0,0.0051,1e-04,0.1371,0.3418,0.0428,0.0041,59.6903,22.9358,0.786,0.1836,111.9079,0.0629,0,2e-04,0,0,0,1.9253,58.4862,21.1242,0,0,0.0025,0,0,0,3.7909,21.4258,56.3758,25.1989,28.5398,1696.7408,143.1648,17.093,1382.556,0.258
0.0587,-0.0236,493.961,68,0,8e-04,0,0.0065,1.2082,0,0.0031,65.6631,23.9306,0.9533,0.0441,157.9954,0,0,0,0,0,0,1.5763,58.9892,25.6505,0,0,0,0,0,0,2.1326,21.7364,51.1526,25.6523,28.5373,1757.9458,155.9001,17.8408,1421.5875,0.293
0.0461,0.3749,302.61,68.39,0,0.0033,0,0.0112,0.44,0,0.0085,70.1678,23.8929,0.9171,0.0759,110.4347,0.2636,0,0.0013,0.0015,0,0,1.1768,60.3031,26.0908,0,0,0.1896,0,0,0,1.1846,30.7705,58.4846,24.4954,26.6751,1611.0178,157.5453,17.6182,1315.7839,0.188
0,-0.3422,270.626,63,0,3e-04,0,0.5683,0.4672,0,4e-04,38.4126,14.5311,0.2024,0.7964,120.6228,0,0,0.1199,0,0,0,4.5324,38.6364,21.0303,0,0,0,0.0925,0,0,7.3437,21.0832,37.4692,24.1474,26.1857,1646.0836,170.6694,17.5019,1317.9161,0.368
0.0128,-0.0652,299.405,63.25,0,3e-04,0,0.5723,0.4021,0,3e-04,38.1517,14.3908,0.199,0.7844,117.4504,0.5865,0,8e-04,0,0,0,2.0047,33.1773,16.2359,0,0,0.3382,0.0102,0,0,1.8644,18.5408,34.6277,24.1131,26.2248,1718.3229,169.5066,17.4167,1387.2763,0.36
0.1891,0.2343,542.627,66,0,0,0,0.5025,0,0,0,46.7902,17.4712,0.0517,0.9134,4.3419,0.5025,0,0,0,0,0,0,46.7902,17.4712,0,0,0.3997,0,0,0,0,24.2919,55.052,23.7166,26.0932,1924.9463,173.26,16.8322,1568.2133,0.289
0.0338,-0.2718,699.179,73.95,0,0,0,0,1.1569,0.8654,7e-04,64.7758,24.9927,0.9829,8e-04,27.4861,0,0,0,0,0.0202,0,2.3288,68.1052,26.2301,0,0,0,0,0,0,0.8584,26.5824,69.3652,25.8543,29.2053,1554.1205,124.4461,17.6823,1261.8572,0.03
0.0254,-0.1875,775.679,74.78,0,0.0056,0,0.2383,1.1394,0.237,0.0024,51.5885,21.8125,0.5826,0.3933,60.0995,0.1844,0,9e-04,0,0.2999,0,0.7944,53.3459,22.8069,0,0,0.2437,0.0047,0,0.208,0.6782,23.7794,49.6592,24.4438,27.8474,1716.5024,138.6768,16.6987,1418.2471,0.201
